-DOCSTART- -X- O
việc OT B-O 
theo OT B-O 
số OT B-O 
sao OT B-O 
3.4 OT B-O 
. OT B-O 
10 OT B-O 
. OT B-O 
Đăng OT B-O 
bài OT B-O 
tuyển OT B-O 
dụng OT B-O 

Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Văn OT B-O 
Sơn OT B-O 
, OT B-O 
20143863 OT B-O 
, OT B-O 
K59 OT B-O 
, OT B-O 
Lớp OT B-O 
KSTN AN B-AN 
- AN I-AN 
CNTT AN I-AN 
26 OT B-O 
η OT B-O 

HÀ OT B-O 
NỘI OT B-O 
, OT B-O 
6/2021 OT B-O 
ĐỀ OT B-O 
TÀI OT B-O 
TỐT OT B-O 
NGHIỆP OT B-O 
1 OT B-O 
. OT B-O 
Thông OT B-O 
tin OT B-O 
về OT B-O 
sinh OT B-O 
viên OT B-O 

1 OT B-O 
Ở OT B-O 
hính OT B-O 
1 OT B-O 
. OT B-O 
1 OT B-O 
Các OT B-O 
từ OT B-O 
có OT B-O 
kích OT B-O 
thước OT B-O 
càng OT B-O 
lớn OT B-O 
thể OT B-O 
hiện OT B-O 
xác OT B-O 
suất OT B-O 
văn OT B-O 
bản OT B-O 
chứa OT B-O 
từ OT B-O 
đó OT B-O 
càng OT B-O 
lớn OT B-O 
, OT B-O 
do OT B-O 
đó OT B-O 
kích OT B-O 
thước OT B-O 
các OT B-O 
từ OT B-O 
trong OT B-O 
ảnh OT B-O 
thể OT B-O 
hiện OT B-O 
tính OT B-O 
đại OT B-O 
diện OT B-O 
cho OT B-O 
chủ OT B-O 
đề OT B-O 
. OT B-O 

của OT B-O 
mô OT B-O 
hình OT B-O 
, OT B-O 
và OT B-O 
VBD AN B-AN 
cung OT B-O 
cấp OT B-O 
một OT B-O 
cơ OT B-O 
chế OT B-O 
hiệu OT B-O 
quả OT B-O 
đánh OT B-O 
giá OT B-O 
độ OT B-O 
quan OT B-O 
trọng OT B-O 
của OT B-O 
nơ-ron OT B-O 
, OT B-O 
đưa OT B-O 
ra OT B-O 
một OT B-O 
cơ OT B-O 
chế OT B-O 
trực OT B-O 
tiếp OT B-O 
giảm OT B-O 
thiểu OT B-O 
mức OT B-O 
độ OT B-O 
quên OT B-O 
. OT B-O 
Thứ OT B-O 
nhất OT B-O 
, OT B-O 
Dropout OT B-O 
nói OT B-O 
chung OT B-O 
và OT B-O 
VBD AN I-AN 
nói OT B-O 
riêng OT B-O 
có OT B-O 
khả OT B-O 
năng OT B-O 
tìm OT B-O 
ra OT B-O 
được OT B-O 
vùng OT B-O 

• OT B-O 
Số OT B-O 
điện OT B-O 
thoại OT B-O 
: OT B-O 
0919020291 OT B-O 
• OT B-O 
Hệ OT B-O 
đào OT B-O 
tạo OT B-O 
: OT B-O 
KSCLC AN B-AN 
- AN I-AN 
TN AN I-AN 
- AN I-AN 
TT AN I-AN 
- AN I-AN 
VN AN I-AN 
- AN I-AN 
• OT B-O 
Lớp OT B-O 
: OT B-O 
Tài OT B-O 
năng OT B-O 
Khoa OT B-O 
học OT B-O 
máy OT B-O 
tính OT B-O 

[ OT B-O 
11 OT B-O 
] OT B-O 
giải OT B-O 
quyết OT B-O 
vấn OT B-O 
đề OT B-O 
của OT B-O 
SVI AN B-AN 
bằng OT B-O 
cách OT B-O 
giả OT B-O 
sử OT B-O 
toàn OT B-O 
bộ OT B-O 
dòng OT B-O 
dữ OT B-O 
liệu OT B-O 
được OT B-O 
sinh OT B-O 
ra OT B-O 
từ OT B-O 
Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Văn OT B-O 
Sơn OT B-O 
, OT B-O 
20143863 OT B-O 
, OT B-O 
K59 OT B-O 
, OT B-O 
Lớp OT B-O 
KSTN AN B-AN 
- AN I-AN 
CNTT AN I-AN 

Ta OT B-O 
có OT B-O 
các OT B-O 
bước OT B-O 
cơ OT B-O 
bản OT B-O 
để OT B-O 
xây OT B-O 
dựng OT B-O 
các OT B-O 
vec OT B-O 
-tơ OT B-O 
biểu OT B-O 
diễn OT B-O 
cho OT B-O 
dữ OT B-O 
liệu OT B-O 
: OT B-O 
• OT B-O 
Xây OT B-O 
dựng OT B-O 
bộ OT B-O 
từ OT B-O 
vựng OT B-O 
, OT B-O 
gọi OT B-O 
độ OT B-O 
lớn OT B-O 
bộ OT B-O 
từ OT B-O 
vựng OT B-O 
là OT B-O 
VOCABULARY OT B-O 
_ OT B-O 
SIZE OT B-O 
. OT B-O 
• OT B-O 
Đóng OT B-O 
khung OT B-O 
dữ OT B-O 
liệu OT B-O 
: OT B-O 
Dữ OT B-O 
liệu OT B-O 
ban OT B-O 
đầu OT B-O 
có OT B-O 
thể OT B-O 
có OT B-O 
kích OT B-O 
thước OT B-O 
khác OT B-O 
nhau OT B-O 
nhưng OT B-O 
đầu OT B-O 

đẹp OT B-O 
thì OT B-O 
nhiều OT B-O 
khả OT B-O 
năng OT B-O 
tất OT B-O 
cả OT B-O 
các OT B-O 
mẫu OT B-O 
sinh OT B-O 
ra OT B-O 
đều OT B-O 
trọc OT B-O 
đầu OT B-O 
hoặc OT B-O 
mạng OT B-O 
AE AN B-AN 
sẽ OT B-O 
sinh OT B-O 
ra OT B-O 
những OT B-O 
tấm OT B-O 
hình OT B-O 
như OT B-O 
hình OT B-O 
3 OT B-O 
Hình OT B-O 
3 OT B-O 
: OT B-O 
Kết OT B-O 
quả OT B-O 
sinh OT B-O 
ảnh OT B-O 
của OT B-O 
mạng OT B-O 
Auto OT B-O 
Encoder OT B-O 

N OT B-O 
M OT B-O 
Hình OT B-O 
2 OT B-O 
: OT B-O 
Biểu OT B-O 
diễn OT B-O 
đồ OT B-O 
thị OT B-O 
xác OT B-O 
suất OT B-O 
của OT B-O 
mô OT B-O 
hình OT B-O 
LDA AN B-AN 

McNicholas OT B-O 
( OT B-O 
2010 OT B-O 
) OT B-O 
[ OT B-O 
71 OT B-O 
] OT B-O 
giới OT B-O 
thiệu OT B-O 
EPGMM AN B-AN 
, OT B-O 
một OT B-O 
công OT B-O 
cụ OT B-O 
dựa OT B-O 
trên OT B-O 
GMM AN B-AN 
, OT B-O 
cho OT B-O 
phép OT B-O 
mô OT B-O 
hình OT B-O 
hóa OT B-O 
mối OT B-O 
tương OT B-O 
quan OT B-O 
giữa OT B-O 
các OT B-O 
mức OT B-O 
độ OT B-O 
biểu OT B-O 
hiện OT B-O 
gen OT B-O 

GM AN B-AN 
F AN I-AN 
và OT B-O 
GMF AN I-AN 
và OT B-O 
MLP AN B-AN 
. OT B-O 
Tương OT B-O 
tự OT B-O 
với OT B-O 
qG AN B-AN 

Đặt OT B-O 
điểm OT B-O 
thưởng OT B-O 
toàn OT B-O 
phần OT B-O 
cho OT B-O 
quan OT B-O 
sát OT B-O 
thứ OT B-O 
k OT B-O 
là OT B-O 
rk OT B-O 
= OT B-O 
αr1 OT B-O 
, OT B-O 
k OT B-O 
+ OT B-O 
( OT B-O 
1 OT B-O 
− OT B-O 
α OT B-O 
) OT B-O 
r2 OT B-O 
, OT B-O 
k OT B-O 
; OT B-O 
end OT B-O 
Tính OT B-O 
stochastic OT B-O 
gradient OT B-O 
của OT B-O 
ΘAB OT B-O 
: OT B-O 

Việc OT B-O 
giới OT B-O 
hạn OT B-O 
lại OT B-O 
số OT B-O 
lượng OT B-O 
tham OT B-O 
số OT B-O 
cho OT B-O 
ALV AN B-AN 
sẽ OT B-O 
được OT B-O 
để OT B-O 
lại OT B-O 
cho OT B-O 
công OT B-O 
việc OT B-O 
trong OT B-O 
tương OT B-O 
lai OT B-O 
và OT B-O 
đề OT B-O 
xuất OT B-O 
ý OT B-O 
tưởng OT B-O 
trong OT B-O 
5 OT B-O 
. OT B-O 
2 OT B-O 
. OT B-O 
2 OT B-O 
. OT B-O 
40 OT B-O 

viết OT B-O 
quy OT B-O 
tắc OT B-O 
chuỗi OT B-O 
đạo OT B-O 
hàm OT B-O 
cho OT B-O 
tensor OT B-O 
. OT B-O 
Với OT B-O 
Y OT B-O 
= OT B-O 
g OT B-O 
( OT B-O 
X OT B-O 
) OT B-O 
và OT B-O 
z OT B-O 
= OT B-O 
f OT B-O 
( OT B-O 
Y OT B-O 
) OT B-O 
thì OT B-O 
: OT B-O 
∇X OT B-O 
z OT B-O 
= OT B-O 

. OT B-O 
Hàm OT B-O 
mục OT B-O 
tiêu OT B-O 
: OT B-O 
Hàm OT B-O 
mục OT B-O 
tiêu OT B-O 
chung OT B-O 
cho OT B-O 
các OT B-O 
mô OT B-O 
hình OT B-O 
ITE AN B-AN 
được OT B-O 
phát OT B-O 
biểu OT B-O 
như OT B-O 
sau OT B-O 
: OT B-O 

𝑇 OT B-O 
sao OT B-O 
cho OT B-O 
: OT B-O 
𝛽 OT B-O 
∗ OT B-O 
= OT B-O 
argmin OT B-O 
‖𝑦 OT B-O 
− OT B-O 
𝑋𝛽 OT B-O 
‖ OT B-O 
22 OT B-O 
( OT B-O 
1 OT B-O 
) OT B-O 

W OT B-O 
= OT B-O 
{ OT B-O 
w1 OT B-O 
, OT B-O 
w2 OT B-O 
, OT B-O 
· OT B-O 
· OT B-O 
· OT B-O 
, OT B-O 
wM OT B-O 
} OT B-O 
tương OT B-O 
ứng OT B-O 
với OT B-O 
tập OT B-O 
nhãn OT B-O 
lớp OT B-O 
C OT B-O 
= OT B-O 
{ OT B-O 
c1 OT B-O 
, OT B-O 
c2 OT B-O 
, OT B-O 
· OT B-O 
· OT B-O 
· OT B-O 
, OT B-O 
cM OT B-O 
} OT B-O 
. OT B-O 
2 OT B-O 
) OT B-O 
Mô OT B-O 
hình OT B-O 
sinh OT B-O 

tự OT B-O 
K-means OT B-O 
: OT B-O 
𝑁 OT B-O 
𝐾 OT B-O 

trong OT B-O 
đó OT B-O 
S OT B-O 
là OT B-O 
ma OT B-O 
trận OT B-O 
đường OT B-O 
chéo OT B-O 
gồm OT B-O 
K OT B-O 
giá OT B-O 
trị OT B-O 
riêng OT B-O 
lớn OT B-O 
nhất OT B-O 
của OT B-O 
ma OT B-O 
trận OT B-O 
document-term OT B-O 
. OT B-O 
Với OT B-O 
các OT B-O 
ma OT B-O 
trận OT B-O 
DOC OT B-O 
[ OT B-O 
D×K OT B-O 
] OT B-O 
và OT B-O 
T OT B-O 
OP OT B-O 
IC OT B-O 
[ OT B-O 
K×V OT B-O 
] OT B-O 
tìm OT B-O 
được OT B-O 
, OT B-O 
chúng OT B-O 
ta OT B-O 

Khi OT B-O 
đó OT B-O 
chúng OT B-O 
ta OT B-O 
có OT B-O 
thể OT B-O 
tính OT B-O 
toán OT B-O 
được OT B-O 
đạo OT B-O 
hàm OT B-O 
của OT B-O 
L̂ OT B-O 
đối OT B-O 
với OT B-O 
wt OT B-O 
dưới OT B-O 
dạng OT B-O 
tường OT B-O 
minh OT B-O 
sau OT B-O 
: OT B-O 

Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Thế OT B-O 
Linh OT B-O 
– AN B-AN 
20142585 OT B-O 
– AN I-AN 
K59 OT B-O 
– AN I-AN 
Lớp OT B-O 
CNTT AN I-AN 
– AN I-AN 
TT AN I-AN 
2.03 OT B-O 
48 OT B-O 
finally OT B-O 

thấy OT B-O 
RMS AN B-AN 
prop OT B-O 
cho OT B-O 
độ OT B-O 
chính OT B-O 
xác OT B-O 
trên OT B-O 
tập OT B-O 
validation OT B-O 
cao OT B-O 
nhất OT B-O 
tại OT B-O 
epoch OT B-O 
3 OT B-O 
là OT B-O 
0.8940 OT B-O 
và OT B-O 
giảm OT B-O 
dần OT B-O 
không OT B-O 
có OT B-O 
dấu OT B-O 
hiệu OT B-O 
tăng OT B-O 
. OT B-O 
Đồng OT B-O 
thời OT B-O 
độ OT B-O 
chính OT B-O 
xác OT B-O 
trên OT B-O 
tập OT B-O 
huấn OT B-O 
luyện OT B-O 
tại OT B-O 

được OT B-O 
ký OT B-O 
hiệu OT B-O 
là OT B-O 
L OT B-O 
( OT B-O 
θ OT B-O 
) OT B-O 
. OT B-O 
Bài OT B-O 
toán OT B-O 
tối OT B-O 
thiểu OT B-O 
hàm OT B-O 
mất OT B-O 
mát OT B-O 
để OT B-O 
tìm OT B-O 
tập OT B-O 
thâm OT B-O 
số OT B-O 
của OT B-O 
mô OT B-O 
hình OT B-O 
được OT B-O 
11 OT B-O 

Split OT B-O 
CIFAR100 AN B-AN 
: OT B-O 
Tập OT B-O 
dữ OT B-O 
liệu OT B-O 
gốc OT B-O 
CIFAR100 AN I-AN 
[ OT B-O 
37 OT B-O 
] OT B-O 
gồm OT B-O 
100 AN I-AN 
lớp OT B-O 
với OT B-O 
mỗi OT B-O 
lớp OT B-O 
là OT B-O 
một OT B-O 
vật OT B-O 
thể OT B-O 
( OT B-O 
ví OT B-O 
dụ OT B-O 
máy OT B-O 
bay OT B-O 
, OT B-O 
tàu OT B-O 
thủy OT B-O 
, OT B-O 
v.v OT B-O 
) OT B-O 
. OT B-O 
Có OT B-O 
tổng OT B-O 
cộng OT B-O 
60000 OT B-O 
ảnh OT B-O 
trong OT B-O 
tập OT B-O 
huấn OT B-O 
luyện OT B-O 

Tầng OT B-O 
Word OT B-O 
Embedding OT B-O 
cũng OT B-O 
tương OT B-O 
tự OT B-O 
như OT B-O 
Title OT B-O 
Encoder OT B-O 
, OT B-O 
chuyển OT B-O 
chuỗi OT B-O 
các OT B-O 
từ OT B-O 
[ OT B-O 
𝑤1𝑏 OT B-O 
, OT B-O 
𝑤2𝑏 OT B-O 
, OT B-O 
. OT B-O 
. OT B-O 
. OT B-O 
, OT B-O 
𝑤𝑃𝑏 OT B-O 
] OT B-O 
thành OT B-O 
tập OT B-O 
các OT B-O 
vector OT B-O 
từ OT B-O 
tương OT B-O 
ứng OT B-O 
[ OT B-O 
𝑒1𝑏 OT B-O 
, OT B-O 
𝑒2𝑏 OT B-O 
, OT B-O 
. OT B-O 
. OT B-O 
. OT B-O 
, OT B-O 
𝑒𝑃𝑏 OT B-O 
] OT B-O 
, OT B-O 
trong OT B-O 
đó OT B-O 
P OT B-O 
là OT B-O 
số OT B-O 
từ OT B-O 
trong OT B-O 
nội OT B-O 
dung OT B-O 
bài OT B-O 
báo OT B-O 
, OT B-O 
giá OT B-O 
trị OT B-O 
P OT B-O 
trong OT B-O 
mô OT B-O 
hình OT B-O 
sẽ OT B-O 
được OT B-O 
điều OT B-O 
chỉnh OT B-O 
để OT B-O 
lấy OT B-O 
P OT B-O 

Ma OT B-O 
trận OT B-O 
đánh OT B-O 
giá OT B-O 
của OT B-O 
người OT B-O 
dùng OT B-O 
và OT B-O 
sản OT B-O 
phẩm OT B-O 
Ma OT B-O 
trận OT B-O 
nhân OT B-O 
tố OT B-O 
ẩn OT B-O 
của OT B-O 
toàn OT B-O 
bộ OT B-O 
người OT B-O 
dùng OT B-O 
P OT B-O 

Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Thế OT B-O 
Linh OT B-O 
– AN B-AN 
20142585 OT B-O 
– AN I-AN 
K59 OT B-O 
– AN I-AN 
Lớp OT B-O 
CNTT AN I-AN 
– AN I-AN 
TT AN I-AN 
2.03 OT B-O 
27 OT B-O 
Sử OT B-O 
dụng OT B-O 
ELMo AN B-AN 
đã OT B-O 
được OT B-O 
huấn OT B-O 
luyện OT B-O 
với OT B-O 
đầu OT B-O 
vào OT B-O 
là OT B-O 
một OT B-O 
chuỗi OT B-O 
các OT B-O 
ký OT B-O 
tự OT B-O 
cho OT B-O 
mỗi OT B-O 
từ OT B-O 
trong OT B-O 

trong OT B-O 
đó OT B-O 
Stochastic OT B-O 
Variational OT B-O 
Inference OT B-O 
( OT B-O 
SVI AN B-AN 
) OT B-O 
[ OT B-O 
8 OT B-O 
] OT B-O 
là OT B-O 
một OT B-O 
ví OT B-O 
dụ OT B-O 
điển OT B-O 
hình OT B-O 
. OT B-O 
Tuy OT B-O 
nhiên OT B-O 
, OT B-O 
SVI AN I-AN 
là OT B-O 
một OT B-O 
phương OT B-O 
pháp OT B-O 
học OT B-O 
trực OT B-O 
tuyến OT B-O 
( OT B-O 
online OT B-O 
) OT B-O 
, OT B-O 
nó OT B-O 
yêu OT B-O 
cầu OT B-O 
một OT B-O 
bộ OT B-O 
dữ OT B-O 

Nhận OT B-O 
xét OT B-O 
Mô OT B-O 
hình OT B-O 
NRMS AN B-AN 
được OT B-O 
xây OT B-O 
dựng OT B-O 
dựa OT B-O 
trên OT B-O 
Deep OT B-O 
Learning OT B-O 
đã OT B-O 
khai OT B-O 
thác OT B-O 
khá OT B-O 
tốt OT B-O 
các OT B-O 
đặc OT B-O 
điểm OT B-O 
của OT B-O 
bài OT B-O 
toán OT B-O 
gợi OT B-O 
ý OT B-O 
tin OT B-O 
tức OT B-O 
, OT B-O 
mô OT B-O 
hình OT B-O 
đã OT B-O 
tập OT B-O 
trung OT B-O 
vào OT B-O 
các OT B-O 
đặc OT B-O 
trưng OT B-O 
cơ OT B-O 

đến OT B-O 
các OT B-O 
mô OT B-O 
hình OT B-O 
gặp OT B-O 
hiện OT B-O 
tượng OT B-O 
overfitting OT B-O 
sớm OT B-O 
như OT B-O 
vậy OT B-O 
. OT B-O 
( OT B-O 
a OT B-O 
) OT B-O 
HR AN B-AN 
@ OT B-O 
10 OT B-O 

75.3 OT B-O 
Bảng OT B-O 
6 OT B-O 
: OT B-O 
Kết OT B-O 
quả OT B-O 
của OT B-O 
biểu OT B-O 
diễn OT B-O 
ẩn OT B-O 
khi OT B-O 
so OT B-O 
sánh OT B-O 
các OT B-O 
phương OT B-O 
pháp OT B-O 
SOTA AN B-AN 
hiện OT B-O 
nay OT B-O 
( OT B-O 
Nguồn OT B-O 
[ OT B-O 
Car+20 OT B-O 
] OT B-O 
) OT B-O 

45 OT B-O 
5 OT B-O 
THỬ OT B-O 
NGHIỆM OT B-O 
VÀ OT B-O 
ĐÁNH OT B-O 
GIÁ OT B-O 

Hình OT B-O 
4 OT B-O 
. OT B-O 
11 OT B-O 
Độ OT B-O 
chính OT B-O 
xác OT B-O 
trên OT B-O 
từng OT B-O 
tác OT B-O 
vụ OT B-O 
trong OT B-O 
thử OT B-O 
nghiệm OT B-O 
với OT B-O 
VCL AN B-AN 
36 OT B-O 

Như OT B-O 
vây OT B-O 
với OT B-O 
cách OT B-O 
tiếp OT B-O 
cận OT B-O 
xác OT B-O 
suất OT B-O 
cho OT B-O 
NCF AN B-AN 
, OT B-O 
bài OT B-O 
toán OT B-O 
gợi OT B-O 
ý OT B-O 
giống OT B-O 
như OT B-O 
một OT B-O 
bài OT B-O 
toán OT B-O 
phân OT B-O 
loại OT B-O 
nhị OT B-O 
phân OT B-O 
. OT B-O 

SSL AN B-AN 
và OT B-O 
semi-supervised OT B-O 
learning OT B-O 
, OT B-O 
trước OT B-O 
đây OT B-O 
cũng OT B-O 
đã OT B-O 
có OT B-O 
một OT B-O 
bài OT B-O 
người OT B-O 
ta OT B-O 
đã OT B-O 
làm OT B-O 
và OT B-O 
rất OT B-O 
nổi OT B-O 
tiếng OT B-O 
đó OT B-O 
là OT B-O 
bài OT B-O 
Deep OT B-O 
Clustering OT B-O 
[ OT B-O 
Car OT B-O 
+ OT B-O 
18 OT B-O 
] OT B-O 
. OT B-O 
Hình OT B-O 
17 OT B-O 
: OT B-O 
Mô OT B-O 
hình OT B-O 
Deep OT B-O 
Clustering OT B-O 
( OT B-O 
Nguồn OT B-O 
[ OT B-O 
Car OT B-O 
+ OT B-O 
18 OT B-O 
] OT B-O 
) OT B-O 

end OT B-O 
for OT B-O 
* OT B-O 
Bước OT B-O 
cập OT B-O 
nhật OT B-O 
tham OT B-O 
số OT B-O 
toàn OT B-O 
cục OT B-O 
* OT B-O 
Chọn OT B-O 
ρt OT B-O 
= OT B-O 
( OT B-O 
τ0 OT B-O 
+ OT B-O 
t OT B-O 
) OT B-O 
κ OT B-O 
P OT B-O 

số OT B-O 
lượng OT B-O 
click OT B-O 
trong OT B-O 
top OT B-O 
K OT B-O 
tổng OT B-O 
số OT B-O 
click OT B-O 
trong OT B-O 
tập OT B-O 
test OT B-O 

. OT B-O 
. OT B-O 
. OT B-O 
Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Văn OT B-O 
Sơn OT B-O 
, OT B-O 
20143863 OT B-O 
, OT B-O 
K59 OT B-O 
, OT B-O 
Lớp OT B-O 
KSTN AN B-AN 
- AN I-AN 
CNTT AN I-AN 
16 OT B-O 

Vì OT B-O 
vậy OT B-O 
trong OT B-O 
phạm OT B-O 
vi OT B-O 
đề OT B-O 
tài OT B-O 
này OT B-O 
, OT B-O 
em OT B-O 
muốn OT B-O 
đề OT B-O 
xuất OT B-O 
tìm OT B-O 
hiểu OT B-O 
, OT B-O 
cài OT B-O 
đặt OT B-O 
, OT B-O 
đánh OT B-O 
giá OT B-O 
mô OT B-O 
hình OT B-O 
HAN AN B-AN 
cho OT B-O 
bài OT B-O 
toán OT B-O 
phân OT B-O 
loại OT B-O 
cảm OT B-O 
xúc OT B-O 
văn OT B-O 
bản OT B-O 
tiếng OT B-O 
Việt OT B-O 
. OT B-O 

Phần OT B-O 
này OT B-O 
tiến OT B-O 
hành OT B-O 
hai OT B-O 
thử OT B-O 
nghiệm OT B-O 
tương OT B-O 
ứng OT B-O 
với OT B-O 
hai OT B-O 
loại OT B-O 
dữ OT B-O 
liệu OT B-O 
trên OT B-O 
bài OT B-O 
toán OT B-O 
học OT B-O 
không OT B-O 
giám OT B-O 
sát OT B-O 
, OT B-O 
cụ OT B-O 
thể OT B-O 
là OT B-O 
học OT B-O 
chủ OT B-O 
đề OT B-O 
ẩn OT B-O 
của OT B-O 
một OT B-O 
tập OT B-O 
các OT B-O 
văn OT B-O 
bản OT B-O 
dựa OT B-O 
trên OT B-O 
mô OT B-O 
hình OT B-O 
LDA AN B-AN 
. OT B-O 

2 OT B-O 
. OT B-O 
2 OT B-O 
Các OT B-O 
hệ OT B-O 
số OT B-O 
a OT B-O 
, OT B-O 
b OT B-O 
, OT B-O 
C OT B-O 
có OT B-O 
thể OT B-O 
chọn OT B-O 
sao OT B-O 
cho OT B-O 
các OT B-O 
hệ OT B-O 
số OT B-O 
w OT B-O 
có OT B-O 
thể OT B-O 
âm OT B-O 
và OT B-O 
kiểm OT B-O 
soát OT B-O 
độ OT B-O 

trong OT B-O 
các OT B-O 
nhãn OT B-O 
đúng OT B-O 
được OT B-O 
tính OT B-O 
là OT B-O 
một OT B-O 
ví OT B-O 
dụ OT B-O 
đúng OT B-O 
. OT B-O 
4 OT B-O 
. OT B-O 
2 OT B-O 
. OT B-O 
2 OT B-O 
Tham OT B-O 
số OT B-O 
chi OT B-O 
tiết OT B-O 
cho OT B-O 
mô OT B-O 
hình OT B-O 
Ở OT B-O 
đây OT B-O 
, OT B-O 
em OT B-O 
sử OT B-O 
dụng OT B-O 
pre-trained OT B-O 
word OT B-O 
embedding OT B-O 
là OT B-O 
300-dim OT B-O 
word OT B-O 
2vec OT B-O 
( OT B-O 
Mikolov OT B-O 
et OT B-O 
al OT B-O 
. OT B-O 
, OT B-O 

`` OT B-O 
OccurrenceOffsets OT B-O 
`` OT B-O 
: OT B-O 
[ OT B-O 
35 OT B-O 
] OT B-O 
, OT B-O 
`` OT B-O 
SurfaceForms OT B-O 
`` OT B-O 
: OT B-O 
[ OT B-O 
`` OT B-O 
PGA OT B-O 
Tour OT B-O 
`` OT B-O 
] OT B-O 
} OT B-O 
] OT B-O 
Bảng OT B-O 
4 OT B-O 
. OT B-O 
2 OT B-O 
Mô OT B-O 
tả OT B-O 
thuộc OT B-O 
tính OT B-O 
bài OT B-O 
báo OT B-O 
tập OT B-O 
MIND AN B-AN 

Như OT B-O 
đã OT B-O 
đề OT B-O 
cập OT B-O 
ở OT B-O 
phần OT B-O 
mục OT B-O 
tiêu OT B-O 
và OT B-O 
phạm OT B-O 
vi OT B-O 
đề OT B-O 
tài OT B-O 
, OT B-O 
mô OT B-O 
hình OT B-O 
mà OT B-O 
em OT B-O 
đề OT B-O 
xuất OT B-O 
để OT B-O 
giải OT B-O 
quyết OT B-O 
bài OT B-O 
toán OT B-O 
phân OT B-O 
loại OT B-O 
cảm OT B-O 
xúc OT B-O 
văn OT B-O 
bản OT B-O 
là OT B-O 
mô OT B-O 
hình OT B-O 
HAN AN B-AN 
( OT B-O 
Hierarchical OT B-O 
Attention OT B-O 
2 OT B-O 

MỘT OT B-O 
SỐ OT B-O 
MÔ OT B-O 
HÌNH OT B-O 
GỢI OT B-O 
Ý OT B-O 
TIN OT B-O 
TỨC OT B-O 
Hệ OT B-O 
thống OT B-O 
gợi OT B-O 
ý OT B-O 
( OT B-O 
Recommender OT B-O 
Systems OT B-O 
) OT B-O 
: OT B-O 
là OT B-O 
một OT B-O 
mảng OT B-O 
quan OT B-O 
trọng OT B-O 
trong OT B-O 
học OT B-O 

• OT B-O 
Các OT B-O 
từ OT B-O 
là OT B-O 
phần OT B-O 
tử OT B-O 
cơ OT B-O 
bản OT B-O 
tạo OT B-O 
thành OT B-O 
văn OT B-O 
bản OT B-O 
, OT B-O 
được OT B-O 
đánh OT B-O 
chỉ OT B-O 
số OT B-O 
bởi OT B-O 
{ OT B-O 
1 OT B-O 
, OT B-O 
2 OT B-O 
, OT B-O 
... OT B-O 
, OT B-O 
V OT B-O 
} OT B-O 
trong OT B-O 
một OT B-O 
tập OT B-O 
từ OT B-O 
điển OT B-O 
có OT B-O 
kích OT B-O 
thước OT B-O 
V OT B-O 
. OT B-O 
• OT B-O 
Mỗi OT B-O 
văn OT B-O 
bản OT B-O 
được OT B-O 
kí OT B-O 
hiệu OT B-O 
là OT B-O 
d OT B-O 
và OT B-O 
có OT B-O 
nhãn OT B-O 
cd OT B-O 
∈ OT B-O 
{ OT B-O 
1 OT B-O 
, OT B-O 
2 OT B-O 
, OT B-O 
... OT B-O 
, OT B-O 
C OT B-O 
} OT B-O 
tương OT B-O 
ứng OT B-O 
, OT B-O 
trong OT B-O 

( OT B-O 
𝜃 OT B-O 
| OT B-O 
𝐷𝐴 OT B-O 
, OT B-O 
𝐷𝐵 OT B-O 
) OT B-O 
= OT B-O 
log OT B-O 
𝑝 OT B-O 
( OT B-O 
𝐷𝐵 OT B-O 
| OT B-O 
𝜃 OT B-O 
) OT B-O 
+ OT B-O 
log OT B-O 
𝑝 OT B-O 
( OT B-O 
𝜃 OT B-O 
| OT B-O 
𝐷𝐴 OT B-O 
) OT B-O 
− OT B-O 
log OT B-O 
𝑝 OT B-O 
( OT B-O 
𝐷𝐵 OT B-O 
) OT B-O 
PT AN B-AN 
2.9 OT B-O 
Trong OT B-O 
công OT B-O 
thức OT B-O 
PT AN I-AN 
2.9 OT B-O 
, OT B-O 
đại OT B-O 
lượng OT B-O 
bên OT B-O 
trái OT B-O 
là OT B-O 
xác OT B-O 
suất OT B-O 
hậu OT B-O 
nghiệm OT B-O 
của OT B-O 
tham OT B-O 
số OT B-O 

Mạng LF B-LF 
xã LF I-LF 
hội LF I-LF 
( OT B-O 
MXH AN B-AN 
) OT B-O 
là OT B-O 
một OT B-O 
đồ OT B-O 
thị OT B-O 
mô OT B-O 
tả OT B-O 
sự OT B-O 
tương OT B-O 
tác OT B-O 
giữa OT B-O 
các OT B-O 
cá OT B-O 
thể OT B-O 
có OT B-O 
cùng OT B-O 
mối OT B-O 
quan OT B-O 
tâm OT B-O 
, OT B-O 
có OT B-O 
liên OT B-O 
hệ OT B-O 
trực OT B-O 
